subj,response,rt,version
14,4,1562,4
14,2,1934,4
14,6,968,4
14,4,2638,4
14,2,1312,4
14,2,557,4
14,4,521,4
14,6,657,4
14,5,777,4
14,2,1122,4
14,6,416,4
14,4,423,4
14,5,379,4
14,2,579,4
14,6,679,4
14,4,633,4
14,4,507,4
14,2,1693,4
14,6,1023,4
14,4,544,4
14,4,651,4
14,2,1446,4
14,4,2122,4
14,4,1339,4
14,3,1069,4
14,1,1456,4
14,4,605,4
14,1,1384,4
14,4,669,4
14,4,587,4
14,2,1222,4
14,6,723,4
14,4,478,4
15,3,3244,4
15,5,1974,4
15,2,1428,4
15,6,1967,4
15,2,1196,4
15,7,1767,4
15,3,2456,4
15,1,1343,4
15,6,1582,4
15,4,1797,4
15,2,2009,4
15,4,1742,4
15,2,1575,4
15,1,999,4
15,6,1387,4
15,2,1327,4
15,3,1633,4
15,6,2589,4
15,2,2210,4
15,1,1063,4
15,7,1703,4
15,3,1424,4
15,1,1497,4
15,5,1063,4
15,2,1023,4
15,1,2034,4
15,4,1205,4
15,6,1142,4
15,1,1748,4
15,4,2070,4
15,1,5952,4
15,2,2800,4
15,5,1294,4
15,7,2291,4
15,3,1450,4
15,5,1217,4
15,4,2065,4
15,5,1471,4
15,7,1992,4
15,7,1534,4
15,6,1454,4
15,5,1662,4
15,4,1328,4
15,2,1149,4
15,6,2182,4
15,5,1722,4
15,7,1311,4
15,4,1725,4
15,2,1085,4
15,6,1726,4
15,5,2755,4
15,4,2208,4
15,5,1888,4
15,5,1431,4
15,5,1780,4
15,6,1383,4
15,4,1690,4
15,3,1527,4
15,4,1283,4
15,3,1813,4
15,2,1700,4
15,2,8977,4
15,5,3138,4
15,3,1352,4
15,1,1351,4
15,6,1417,4
15,2,1051,4
15,3,1221,4
15,5,1359,4
15,2,1141,4
15,6,2002,4
15,2,1535,4
15,1,1232,4
15,3,1619,4
15,2,1471,4
15,2,946,4
15,5,1127,4
15,1,1190,4
15,2,1383,4
15,1,1107,4
15,3,2341,4
15,1,1077,4
15,5,1361,4
15,5,1185,4
15,1,1007,4
15,2,1117,4
15,1,1115,4
15,3,1316,4
15,5,1252,4
15,6,1244,4
15,1,989,4
15,4,1198,4
16,1,10778,4
16,4,4465,4
16,1,3326,4
16,6,3751,4
16,2,3060,4
16,2,4859,4
16,2,5723,4
16,1,2240,4
16,1,2809,4
16,2,1951,4
16,1,2840,4
16,2,3577,4
16,3,3160,4
16,1,2128,4
16,2,2278,4
16,1,2721,4
16,1,1914,4
16,3,2586,4
16,2,2130,4
16,1,1746,4
16,3,3275,4
16,2,4084,4
16,1,1981,4
16,2,2194,4
16,2,2859,4
16,1,2142,4
16,2,2435,4
16,3,4188,4
16,1,3004,4
16,4,3427,4
16,6,22963,4
16,2,3031,4
16,2,1590,4
16,4,2978,4
16,1,2727,4
16,2,2138,4
16,3,3354,4
16,2,2642,4
16,5,3730,4
16,6,3354,4
16,6,2657,4
16,7,2369,4
16,3,2617,4
16,4,3759,4
16,5,3578,4
16,5,2570,4
16,6,2802,4
16,7,2146,4
16,5,2992,4
16,2,3024,4
16,5,3866,4
16,5,4794,4
16,4,4043,4
16,4,3497,4
16,3,3248,4
16,2,2251,4
16,3,3361,4
16,5,3073,4
16,5,2974,4
16,4,4002,4
16,1,3759,4
16,6,18100,4
16,6,4544,4
16,5,3961,4
16,2,3850,4
16,6,4554,4
16,5,2715,4
16,1,3147,4
16,4,2745,4
16,2,2802,4
16,1,2819,4
16,1,2890,4
16,1,2878,4
16,2,2825,4
